ORF,LGBM,CatBoost,GNB
0.6857142857142857,0.6612244897959184,0.6612244897959184,0.672108843537415
0.7510204081632653,0.7210884353741497,0.7319727891156462,0.7197278911564626
0.780952380952381,0.7442176870748299,0.746938775510204,0.7564625850340136
0.7646258503401361,0.726530612244898,0.7278911564625851,0.7387755102040816
0.8571428571428571,0.8340136054421768,0.8299319727891157,0.7619047619047619
0.9360544217687075,0.9251700680272109,0.9183673469387755,0.6925170068027211
0.9442176870748299,0.9170068027210885,0.9142857142857143,0.7183673469387755
0.9183673469387755,0.8965986394557823,0.8952380952380953,0.6870748299319728
0.9197278911564626,0.8938775510204081,0.8870748299319728,0.6789115646258503
0.8952380952380953,0.8530612244897959,0.8653061224489796,0.6571428571428571
